PlanetIdentifier,AgeGyr,AscendingNodeDeg,Declination,DiscoveryMethod,DiscoveryYear,DistFromSunParsec,Eccentricity,HostStarAgeGyr,HostStarMassSlrMass,HostStarMetallicity,HostStarRadiusSlrRad,HostStarTempK,InclinationDeg,LastUpdated,ListsPlanetIsOn,LongitudeDeg,PeriastronDeg,PeriodDays,PlanetaryMassJpt,RadiusJpt,RightAscension,SemiMajorAxisAU,SurfaceTempK,TypeFlag,HostStar
HD 104067 b,,,-20 21 14,RV,2009.0,20.8,0.0,,0.7909999999999999,-0.06,,4969.0,,11/07/05,Confirmed planets,,,55.806000000000004,0.18600000000000003,,11 59 10,0.2643,363.2,0,HD 104067
Kepler-186 c,,,+43 57 18,transit,2014.0,151.0,,,0.478,-0.28,0.47200000000000003,3788.0,,14/04/17,Confirmed planets,,,7.267301,,0.097509,19 54 36,0.052,,0,Kepler-186
Kepler-186 d,,,+43 57 18,transit,2014.0,151.0,,,0.478,-0.28,0.47200000000000003,3788.0,,14/04/17,Confirmed planets,,,13.342996,,0.127582,19 54 36,0.0781,,0,Kepler-186
Kepler-186 b,,,+43 57 18,transit,2014.0,151.0,,,0.478,-0.28,0.47200000000000003,3788.0,,14/04/17,Confirmed planets,,,3.8867906999999997,,0.097509,19 54 36,0.0343,,0,Kepler-186
Kepler-186 e,,,+43 57 18,transit,2014.0,151.0,,,0.478,-0.28,0.47200000000000003,3788.0,,14/04/17,Confirmed planets,,,22.407704000000003,,0.11573499999999999,19 54 36,0.11,,0,Kepler-186
Kepler-186 f,,,+43 57 18,transit,2014.0,151.0,,,0.478,-0.28,0.47200000000000003,3788.0,,14/04/17,Confirmed planets,,,,,0.0990277438268,19 54 36,0.35600000000000004,,0,Kepler-186
KIC 3558849 b,,,+38 36 18.68,transit,2015.0,,,,0.98,-0.42,1.005,6175.0,89.973,16/01/09,Confirmed planets,,,1322.3,,0.616,19 39 47.962,,,0,KIC 3558849
KOI-4307.01,,,+38 36 18.68,transit,2014.0,,,,0.98,-0.42,1.005,6175.0,89.38,16/01/09,Controversial,,,160.85081599999998,,0.2097,19 39 47.962,,,0,KOI-4307
HD 28185 b,,,-10 33 02,RV,2001.0,39.4,0.07,,1.24,0.24,1.03,5482.0,,10/12/20,Confirmed planets,,,383.0,5.7,,04 26 26,1.03,241.6,0,HD 28185
Kepler-673 b,,,+50 03 15,transit,2016.0,,,,0.88,0.0,0.84,5355.0,,16/05/10,Confirmed planets,,,3.72873109,,0.583,19 23 09,,,0,Kepler-673
HD 108147 b,,,-64 01 19,RV,2002.0,38.57,0.53,,1.19,0.18,1.22,6067.0,,09/10/06,Confirmed planets,,,10.8985,0.261,,12 25 46,0.102,907.7,0,HD 108147
Kepler-757 b,,,+41 23 11,transit,2016.0,,,,1.08,0.02,1.13,6014.0,,16/05/10,Confirmed planets,,,1.02267882,,0.121,19 46 43,,,0,Kepler-757
Kepler-1481 b,,,+49 43 52,transit,2016.0,,,,0.8,0.04,0.75,4908.0,,16/05/10,Confirmed planets,,,5.94220998,,0.11,19 17 45,,,0,Kepler-1481
Kepler-1017 b,,,+40 07 57,transit,2016.0,,,,0.93,0.04,0.87,5473.0,,16/05/10,Confirmed planets,,,7.23400469,,0.17800000000000002,18 53 53,,,0,Kepler-1017
HD 111232 b,,,-68 25 30,RV,2004.0,29.0,0.2,,0.78,-0.36,,5494.0,,10/12/29,Confirmed planets,,,1143.0,6.8,,12 48 51,1.97,163.3,0,HD 111232
Kepler-183 c,,,+39 18 57,transit,2014.0,1092.31,,,0.99,,0.958,5888.0,,14/02/26,Confirmed planets,,,11.637071,,0.20686999999999997,19 34 07,,,0,Kepler-183
Kepler-183 b,,,+39 18 57,transit,2014.0,1092.31,,,0.99,,0.958,5888.0,,14/02/26,Confirmed planets,,,5.687945,,0.18773,19 34 07,,,0,Kepler-183
HD 38283 b,,,-73 41 58,RV,2011.0,37.7,0.41,,1.085,-0.24,,5945.0,,11/04/13,Confirmed planets,,,363.2,0.34,,05 37 02,1.02,309.9,0,HD 38283
Kepler-371 b,,,+38 39 27,transit,2014.0,637.54,,,,,0.992,5666.0,,14/02/26,Confirmed planets,,,34.763278,,0.17224,19 29 18,,,0,Kepler-371
Kepler-371 c,,,+38 39 27,transit,2014.0,637.54,,,,,0.992,5666.0,,14/02/26,Confirmed planets,,,67.96801500000001,,0.16221,19 29 18,,,0,Kepler-371
Kepler-469 b,,,+41 06 51,transit,2016.0,,,,1.14,0.14,1.53,5892.0,,16/05/10,Confirmed planets,,,33.80367628,,1.597,19 49 54,,,0,Kepler-469
Kepler-246 b,,,+42 39 48,transit,2014.0,768.87,,,0.759,,0.831,5206.0,,14/02/26,Confirmed planets,,,4.60182,,0.21324,19 45 56,,,0,Kepler-246
Kepler-246 c,,,+42 39 48,transit,2014.0,768.87,,,0.759,,0.831,5206.0,,14/02/26,Confirmed planets,,,11.187161,,0.1367,19 45 56,,,0,Kepler-246
Kepler-921 b,,,+49 11 27,transit,2016.0,,,,0.93,-0.12,0.91,5663.0,,16/05/10,Confirmed planets,,,51.300634,,0.256,18 58 28,,,0,Kepler-921
Kepler-413 b,,,+51 09 45,transit,2014.0,,0.11800000000000001,,,,,,4.073,14/01/29,"""Confirmed planets,  Planets in binary systems,  P-type""",3.139,94.6,66.262,0.21076199999999998,0.39614299999999997,19 14 03,,,1,Kepler-413
Kepler-1571 b,,,+45 35 48,transit,2016.0,,,,1.23,0.04,1.39,6297.0,,16/05/10,Confirmed planets,,,3.38555488,,0.136,20 03 44,,,0,Kepler-1571
BD+20 1790 b,,,+20 24 58.66,RV,2015.0,25.4,0.22,,0.63,0.3,,4410.0,50.41,15/11/23,Confirmed planets,,262.0,7.78287,6.37,,07 23 43.592,0.066,,0,BD+20 1790
WASP-19 b,,,-45 39 33,transit,2009.0,250.0,0.0046,,0.97,0.02,0.99,5500.0,79.4,12/07/05,Confirmed planets,,,0.78884,1.168,1.386,09 53 40,0.01655,1911.5,0,WASP-19
HD 39091 b,,,-80 28 08,RV,2001.0,18.32,0.61,,1.1,0.09,2.1,5888.0,,11/01/01,Confirmed planets,,,2049.0,10.3,,05 37 09,3.28,202.4,0,HD 39091
Kepler-717 b,,,+43 20 47,transit,2016.0,,,,0.88,-0.12,0.85,5485.0,,16/05/10,Confirmed planets,,,4.40840023,,0.21600000000000003,19 31 52,,,0,Kepler-717
Kepler-159 b,,,+40 52 07,transit,2014.0,457.7,,,0.628,,0.6629999999999999,4625.0,,14/02/26,Confirmed planets,,,10.139623,,0.21689,19 48 16,,,0,Kepler-159
Kepler-159 c,,,+40 52 07,transit,2014.0,457.7,,,0.628,,0.6629999999999999,4625.0,,14/02/26,Confirmed planets,,,43.595791999999996,,0.31075,19 48 16,,,0,Kepler-159
Kepler-1102 b,,,+48 03 59,transit,2016.0,,,,0.96,-0.08,0.94,5724.0,,16/05/10,Confirmed planets,,,51.3285623,,0.237,18 45 17,,,0,Kepler-1102
